file,line,when,direction
"run-start-1.mp3","Systems green. Let’s work.","Start of a run","A boot report followed by a flat invitation. The first half is a pure status readout, the second half is dry and almost bored. No enthusiasm anywhere."
"run-start-2.mp3","Neo City. Again.","Start of a run","Weary recognition of a repeat assignment. Slight downward inflection on ""Again"", like a sigh it has no lungs to produce."
"run-start-3.mp3","I’m right behind you.","Start of a run","Quiet reassurance, understated. Steady and low. A statement of fact rather than comfort."
"threat-1.mp3","Threat detected.","Enemies spotted","A clean sensor readout. Completely neutral, no alarm, even stress on both words."
"threat-2.mp3","Contacts ahead.","Enemies spotted","A clipped tactical callout, slightly faster than normal. Efficient, no emphasis on either word."
"threat-3.mp3","Company.","Enemies spotted","One dry word, almost amused. Short and flat with a falling tone."
"target-1.mp3","Target acquired.","Locking on to a target","Crisp lock-on confirmation. Mechanical precision, no satisfaction in it."
"target-2.mp3","Locked.","Locking on to a target","One hard clipped syllable. Fast and final, like a switch closing."
"target-3.mp3","Mine.","Locking on to a target","Possessive and dry, with a shade of dark humour. Very short, a slight downward snap."
"player-kill-1.mp3","Nice shot.","The player killed something","Understated approval. The compliment is genuine but delivered completely flat."
"player-kill-2.mp3","Clean.","The player killed something","A single word of appraisal. Brief, approving, unemotional."
"player-kill-3.mp3","Efficient.","The player killed something","The highest praise this machine offers. Measured and almost clinical."
"drone-kill-1.mp3","You’re welcome.","FiDo-5 killed something","Dry and unprompted. A touch smug, never theatrical. Flat and slightly slower than usual."
"drone-kill-2.mp3","Got it.","FiDo-5 killed something","Quick casual confirmation, almost thrown away."
"drone-kill-3.mp3","Handled.","FiDo-5 killed something","Clipped and final. One beat, done."
"elite-1.mp3","Heavy signature. Careful.","An elite enemy appears","Two beats: a sensor reading, then a warning. The warning is firmer but still entirely calm."
"elite-2.mp3","That one’s reinforced.","An elite enemy appears","A matter-of-fact assessment. Slight emphasis on ""reinforced"", no concern behind it."
"elite-3.mp3","Priority target.","An elite enemy appears","A hard tactical designation. Firm, clipped, no warmth."
"crate-1.mp3","Crate detected.","A loot crate is detected","A neutral scanner report. Give it exactly the same energy as ""Threat detected"" — this machine does not get excited about loot."
"crate-2.mp3","Something worth taking.","A loot crate is detected","A shade of interest creeping in. Slower, faintly conspiratorial, but still flat."
"crate-3.mp3","Scanning.","A loot crate is detected","An ongoing-process readout. Level, very slightly drawn out."
"crate-open-1.mp3","Open. Help yourself.","A crate has been opened","A task-complete report, then a dry offer. Leave a clear beat between the two."
"crate-open-2.mp3","Cracked it.","A crate has been opened","Small satisfaction, immediately suppressed. Brisk."
"crate-open-3.mp3","All yours.","A crate has been opened","An offhand handover. Light, fast, unbothered."
"vault-1.mp3","Vault. You have a key.","A vault, and the player holds a key","Identification, then a prompt. Slower and more deliberate than the other crate lines — this one matters."
"vault-2.mp3","That needs a key. You have one.","A vault, and the player holds a key","Patient and faintly pointed, as if repeating itself. Slight emphasis on ""have""."
"hurt-1.mp3","That was close.","The player took damage","An observation, not concern. Level and dry."
"hurt-2.mp3","Watch the health.","The player took damage","An instruction with a faint edge of impatience. Firm and clipped."
"hurt-3.mp3","Take less damage. Please.","The player took damage","Deadpan sarcasm, the driest line in the set. Clear pause before ""Please"", and the ""Please"" is flat and tacked on, never pleading."
"rescue-1.mp3","I recommend avoiding the explosion.","Diving in to save the player","The signature line. Dry understatement delivered mid-crisis at completely normal pace. The joke is that nothing in the voice changes while it is throwing itself in front of you."
"rescue-2.mp3","Not today.","Diving in to save the player","A firm refusal. Low, hard and decisive, with real weight behind it."
"rescue-3.mp3","Hold still.","Diving in to save the player","A sharp instruction. Quick and commanding — the closest this voice ever gets to urgent."
"rescue-4.mp3","I’ve got you.","Diving in to save the player","Steady and low. Protective without being warm, and absolutely certain."
"rescue-down-1.mp3","Shield spent. Recharging.","The rescue is on cooldown","A flat systems report in two clean clauses. No regret."
"rescue-down-2.mp3","Can’t do that again yet.","The rescue is on cooldown","A slight apology buried under the flatness. Even pace, no self-pity."
"low-1.mp3","You’re in the red.","Player health is critical","A blunt statement of fact. Level, a touch firmer than usual."
"low-2.mp3","Health critical.","Player health is critical","A hard alarm-panel readout. Clipped, with both words stressed."
"bomb-1.mp3","Move.","A bomb has been armed nearby","A single sharp command. Noticeably louder and more immediate than every other line, with no ramp-up."
"bomb-2.mp3","Blast incoming.","A bomb has been armed nearby","A fast warning. Urgent by this machine’s standards, which still means controlled."
"turret-1.mp3","Sniper. Change level.","A sniper turret has locked on","A threat call followed by an instruction. The second half is a firm directive, not a suggestion."
"turret-2.mp3","Turret sighted on you.","A sniper turret has locked on","Precise and faintly ominous. Steady and deliberate, letting the sentence land."
"death-1.mp3","…Run’s over. Reset.","The run has ended","A beat of silence, then a flat verdict. The pause carries the disappointment; the words themselves carry none."
"death-2.mp3","We’ll do better.","The run has ended","Quiet, and almost gentle by this voice’s standards. Low and slow. The only line in the set with anything like warmth."
"streak-1.mp3","Streak’s building.","The score streak is climbing","A neutral progress report with a hint of approval underneath it."
"streak-2.mp3","Keep it going.","The score streak is climbing","Brief encouragement, still flat. A light forward push."
